"Var1" "Freq"
"1" "" 687
"2" "A10" 1
"3" "A14" 1
"4" "A16" 1
"5" "A19" 1
"6" "A20" 1
"7" "A23" 1
"8" "A24" 1
"9" "A26" 1
"10" "A31" 1
"11" "A32" 1
"12" "A34" 1
"13" "A36" 1
"14" "A5" 1
"15" "A6" 1
"16" "A7" 1
"17" "B101" 1
"18" "B102" 1
"19" "B18" 2
"20" "B19" 1
"21" "B20" 2
"22" "B22" 2
"23" "B28" 2
"24" "B3" 1
"25" "B30" 1
"26" "B35" 2
"27" "B37" 1
"28" "B38" 1
"29" "B39" 1
"30" "B4" 1
"31" "B41" 1
"32" "B42" 1
"33" "B49" 2
"34" "B5" 2
"35" "B50" 1
"36" "B51 B53 B55" 2
"37" "B57 B59 B63 B66" 2
"38" "B58 B60" 2
"39" "B69" 1
"40" "B71" 1
"41" "B73" 1
"42" "B77" 2
"43" "B78" 1
"44" "B79" 1
"45" "B80" 1
"46" "B82 B84" 1
"47" "B86" 1
"48" "B94" 1
"49" "B96 B98" 4
"50" "C101" 1
"51" "C103" 1
"52" "C104" 1
"53" "C106" 1
"54" "C110" 1
"55" "C111" 1
"56" "C118" 1
"57" "C123" 2
"58" "C124" 2
"59" "C125" 2
"60" "C126" 2
"61" "C128" 1
"62" "C148" 1
"63" "C2" 2
"64" "C22 C26" 3
"65" "C23 C25 C27" 4
"66" "C30" 1
"67" "C32" 1
"68" "C45" 1
"69" "C46" 1
"70" "C47" 1
"71" "C49" 1
"72" "C50" 1
"73" "C52" 2
"74" "C54" 1
"75" "C62 C64" 1
"76" "C65" 2
"77" "C68" 2
"78" "C7" 1
"79" "C70" 1
"80" "C78" 2
"81" "C82" 1
"82" "C83" 2
"83" "C85" 1
"84" "C86" 1
"85" "C87" 1
"86" "C90" 1
"87" "C91" 1
"88" "C92" 2
"89" "C93" 2
"90" "C95" 1
"91" "C99" 1
"92" "D" 3
"93" "D10 D12" 1
"94" "D11" 1
"95" "D15" 1
"96" "D17" 2
"97" "D19" 1
"98" "D20" 2
"99" "D21" 1
"100" "D26" 2
"101" "D28" 1
"102" "D30" 1
"103" "D33" 2
"104" "D35" 2
"105" "D36" 2
"106" "D37" 1
"107" "D45" 1
"108" "D46" 1
"109" "D47" 1
"110" "D48" 1
"111" "D49" 1
"112" "D50" 1
"113" "D56" 1
"114" "D6" 1
"115" "D7" 1
"116" "D9" 1
"117" "E10" 1
"118" "E101" 3
"119" "E12" 1
"120" "E121" 2
"121" "E17" 1
"122" "E24" 2
"123" "E25" 2
"124" "E31" 1
"125" "E33" 2
"126" "E34" 1
"127" "E36" 1
"128" "E38" 1
"129" "E40" 1
"130" "E44" 2
"131" "E46" 1
"132" "E49" 1
"133" "E50" 1
"134" "E58" 1
"135" "E63" 1
"136" "E67" 2
"137" "E68" 1
"138" "E77" 1
"139" "E8" 2
"140" "F E69" 1
"141" "F G63" 1
"142" "F G73" 2
"143" "F2" 3
"144" "F33" 3
"145" "F38" 1
"146" "F4" 2
"147" "G6" 4
"148" "T" 1
